Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Saturday,36,84.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Sunday,36,59.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Thursday,36,135.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Tuesday,36,130.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Wednesday,36,134.0,Queen St (West),-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
Friday,37,83.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Monday,37,68.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Saturday,37,97.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Sunday,37,74.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Thursday,37,71.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Tuesday,37,64.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Wednesday,37,70.0,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
Friday,39,104.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Monday,39,88.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Saturday,39,33.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Sunday,39,24.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Thursday,39,102.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Tuesday,39,102.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Wednesday,39,101.0,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
Friday,40,126.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Monday,40,107.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Saturday,40,80.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Sunday,40,66.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
Thursday,40,126.0,Lonsdale St-Spring St (West),-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
