"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Jagajaga",8650
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Scullin",10576
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Gorton",9780
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Calwell",8776
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Aston",10148
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","La Trobe",7702
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Bruce",11902
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Holt",10707
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Fraser",10903
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Lalor",9696
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","No usual address (Vic.)",383
"Persons Place of Usual Residence","$650-$799 ($33,800-$41,599)","Total",366104
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Casey",11350
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Dunkley",11421
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Gellibrand",10281
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Nicholls",10684
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Indi",10974
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Corio",9970
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Corangamite",7877
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","McEwen",8768
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Monash",8294
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Bendigo",9952
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Wannon",10716
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Mallee",11570
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Hawke",9597
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Ballarat",9339
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Gippsland",9167
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Flinders",9748
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Wills",10180
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Melbourne",11021
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Cooper",10164
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Maribyrnong",9447
"Persons Place of Usual Residence","$800-$999 ($41,600-$51,999)","Macnamara",10318
