"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","8","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","8","No usual address (Vic.)",41
"Persons Place of Usual Residence","8","Total",73373
"Persons Place of Usual Residence","9","Casey",2020
"Persons Place of Usual Residence","9","Dunkley",2012
"Persons Place of Usual Residence","9","Gellibrand",2262
"Persons Place of Usual Residence","9","Nicholls",1973
"Persons Place of Usual Residence","9","Indi",1963
"Persons Place of Usual Residence","9","Corio",1780
"Persons Place of Usual Residence","9","Corangamite",1632
"Persons Place of Usual Residence","9","McEwen",1898
"Persons Place of Usual Residence","9","Monash",1638
"Persons Place of Usual Residence","9","Bendigo",1877
"Persons Place of Usual Residence","9","Wannon",1881
"Persons Place of Usual Residence","9","Mallee",2030
"Persons Place of Usual Residence","9","Hawke",2018
"Persons Place of Usual Residence","9","Ballarat",1882
"Persons Place of Usual Residence","9","Gippsland",1775
"Persons Place of Usual Residence","9","Flinders",1690
"Persons Place of Usual Residence","9","Wills",1503
"Persons Place of Usual Residence","9","Melbourne",874
"Persons Place of Usual Residence","9","Cooper",1660
"Persons Place of Usual Residence","9","Maribyrnong",1676
"Persons Place of Usual Residence","9","Macnamara",1217
"Persons Place of Usual Residence","9","Higgins",1435
"Persons Place of Usual Residence","9","Kooyong",2006
"Persons Place of Usual Residence","9","Menzies",1932
"Persons Place of Usual Residence","9","Chisholm",1920
"Persons Place of Usual Residence","9","Deakin",1982
"Persons Place of Usual Residence","9","Goldstein",2084
"Persons Place of Usual Residence","9","Hotham",2016
"Persons Place of Usual Residence","9","Isaacs",1956
"Persons Place of Usual Residence","9","Jagajaga",1989
"Persons Place of Usual Residence","9","Scullin",1964
"Persons Place of Usual Residence","9","Gorton",2452
"Persons Place of Usual Residence","9","Calwell",2236
"Persons Place of Usual Residence","9","Aston",1750
"Persons Place of Usual Residence","9","La Trobe",1865
"Persons Place of Usual Residence","9","Bruce",2266
"Persons Place of Usual Residence","9","Holt",2474
"Persons Place of Usual Residence","9","Fraser",1721
"Persons Place of Usual Residence","9","Lalor",2285
"Persons Place of Usual Residence","9","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","9","No usual address (Vic.)",31
"Persons Place of Usual Residence","9","Total",73627
"Persons Place of Usual Residence","10","Casey",1941
"Persons Place of Usual Residence","10","Dunkley",1936
"Persons Place of Usual Residence","10","Gellibrand",2039
"Persons Place of Usual Residence","10","Nicholls",1926
"Persons Place of Usual Residence","10","Indi",1839
"Persons Place of Usual Residence","10","Corio",1667
"Persons Place of Usual Residence","10","Corangamite",1546
"Persons Place of Usual Residence","10","McEwen",2058
"Persons Place of Usual Residence","10","Monash",1536
"Persons Place of Usual Residence","10","Bendigo",1746
"Persons Place of Usual Residence","10","Wannon",1829
"Persons Place of Usual Residence","10","Mallee",1992
"Persons Place of Usual Residence","10","Hawke",1936
"Persons Place of Usual Residence","10","Ballarat",1744
"Persons Place of Usual Residence","10","Gippsland",1755
"Persons Place of Usual Residence","10","Flinders",1643
"Persons Place of Usual Residence","10","Wills",1488
"Persons Place of Usual Residence","10","Melbourne",797
"Persons Place of Usual Residence","10","Cooper",1539
"Persons Place of Usual Residence","10","Maribyrnong",1614
"Persons Place of Usual Residence","10","Macnamara",1121
"Persons Place of Usual Residence","10","Higgins",1478
"Persons Place of Usual Residence","10","Kooyong",2010
"Persons Place of Usual Residence","10","Menzies",1868
"Persons Place of Usual Residence","10","Chisholm",1837
"Persons Place of Usual Residence","10","Deakin",2069
"Persons Place of Usual Residence","10","Goldstein",2068
"Persons Place of Usual Residence","10","Hotham",1961
"Persons Place of Usual Residence","10","Isaacs",1814
"Persons Place of Usual Residence","10","Jagajaga",1908
"Persons Place of Usual Residence","10","Scullin",1977
"Persons Place of Usual Residence","10","Gorton",2219
"Persons Place of Usual Residence","10","Calwell",2198
"Persons Place of Usual Residence","10","Aston",1792
"Persons Place of Usual Residence","10","La Trobe",1898
"Persons Place of Usual Residence","10","Bruce",2327
"Persons Place of Usual Residence","10","Holt",2231
"Persons Place of Usual Residence","10","Fraser",1652
"Persons Place of Usual Residence","10","Lalor",2205
"Persons Place of Usual Residence","10","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","10","No usual address (Vic.)",53
"Persons Place of Usual Residence","10","Total",71252
"Persons Place of Usual Residence","11","Casey",1934
"Persons Place of Usual Residence","11","Dunkley",1853
"Persons Place of Usual Residence","11","Gellibrand",1924
"Persons Place of Usual Residence","11","Nicholls",1813
"Persons Place of Usual Residence","11","Indi",1670
"Persons Place of Usual Residence","11","Corio",1676
"Persons Place of Usual Residence","11","Corangamite",1532
"Persons Place of Usual Residence","11","McEwen",1891
"Persons Place of Usual Residence","11","Monash",1456
"Persons Place of Usual Residence","11","Bendigo",1638
"Persons Place of Usual Residence","11","Wannon",1755
"Persons Place of Usual Residence","11","Mallee",1868
